kabupaten_kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,tahun,kuartal,PDRB,Proksi Inflasi,Laju_Inflasi,Gini_Ratio,investasi_per_kapita,Jumlah Perusahaan Kecil
BONDOWOSO,449760,69.91,13.47,4.32,1958640.12,783.35,0.48,1.9,508.5,97.1,2022,2.0,3819.63,Kabupaten Jember,5.53,0.365,8934.547825698499,33
BONDOWOSO,449760,69.91,13.47,4.32,1958640.12,783.35,0.48,1.9,508.5,97.1,2022,3.0,3639.68,Kabupaten Jember,7.3,0.365,5930.787499629325,35
BONDOWOSO,449760,69.91,13.47,4.32,1958640.12,783.35,0.48,1.9,508.5,97.1,2022,4.0,3543.2,Kabupaten Jember,7.39,0.365,1964.3190475255085,36
BONDOWOSO,494000,70.56,13.34,4.15,2183590.0,788.2,0.56,1.9,507.0,97.2,2023,1.0,3542.89,Kabupaten Jember,6.48,0.35,255.6388059663337,38
BONDOWOSO,494000,70.56,13.34,4.15,2183590.0,788.2,0.56,1.9,507.0,97.2,2023,2.0,3972.53,Kabupaten Jember,4.31,0.35,230.9089834509908,47
BONDOWOSO,494000,70.56,13.34,4.15,2183590.0,788.2,0.56,1.9,507.0,97.2,2023,3.0,3806.79,Kabupaten Jember,3.05,0.35,1531.5833992034327,31
BONDOWOSO,494000,70.56,13.34,4.15,2183590.0,788.2,0.56,1.9,507.0,97.2,2023,4.0,3753.41,Kabupaten Jember,2.29,0.35,10736.191110872527,31
BONDOWOSO,517741,71.22,12.6,3.63,2347359.0,792.3,0.55,1.89,510.0,97.3,2024,1.0,3713.04,Kabupaten Jember,2.53,0.333,2844.205128186896,31
BONDOWOSO,517741,71.22,12.6,3.63,2347359.0,792.3,0.55,1.89,510.0,97.3,2024,2.0,4165.03,Kabupaten Jember,1.99,0.333,744.3010852701639,31
BONDOWOSO,517741,71.22,12.6,3.63,2347359.0,792.3,0.55,1.89,510.0,97.3,2024,3.0,4010.07,Kabupaten Jember,1.56,0.333,494.752941175258,37
